epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,82.2164,1.60298,0.81621,0.96361,0.83883,0.89452,0.94857,0.71128,1.57527,0.84852,0.94662,0.00030906,0.00030906,0.00030906
42,83.6734,1.57886,0.80776,0.94858,0.93841,0.90992,0.95265,0.68536,1.59589,0.86804,0.9525,0.000294061,0.000294061,0.000294061
43,85.0792,1.5033,0.78626,0.93521,0.93693,0.91439,0.95375,0.68537,1.62599,0.88411,0.95307,0.000279063,0.000279063,0.000279063
44,86.4589,1.51276,0.82228,0.92529,0.91496,0.92984,0.9804,0.70704,1.70837,0.85666,0.96075,0.000264064,0.000264064,0.000264064
45,87.672,1.48105,0.78238,0.93116,0.91496,0.92984,0.9804,0.70704,1.70837,0.85666,0.96075,0.000249066,0.000249066,0.000249066
46,88.954,1.59776,0.79935,0.96574,0.88685,0.94533,0.98543,0.72028,1.63147,0.81709,0.95083,0.000234068,0.000234068,0.000234068
47,90.3629,1.54621,0.8028,0.94476,0.8679,0.91397,0.96954,0.70092,1.62175,0.81786,0.95085,0.000219069,0.000219069,0.000219069
48,91.7511,1.53848,0.78247,0.95017,0.89016,0.91575,0.94623,0.64864,1.67116,0.83197,0.96338,0.00020407,0.00020407,0.00020407
49,93.1931,1.52724,0.76276,0.91877,0.89016,0.91575,0.94623,0.64864,1.67116,0.83197,0.96338,0.000189072,0.000189072,0.000189072
50,95.1742,1.52467,0.75542,0.93213,0.91187,0.9198,0.94671,0.67048,1.63356,0.83695,0.95749,0.000174074,0.000174074,0.000174074
51,99.0037,1.48989,0.93998,0.94098,0.92218,0.91856,0.95328,0.67366,1.61594,0.81622,0.9519,0.000159075,0.000159075,0.000159075
52,101.156,1.43691,0.81531,0.90696,0.90164,0.90604,0.95597,0.69841,1.66849,0.82117,0.95404,0.000144077,0.000144077,0.000144077
53,102.495,1.45495,0.82923,0.96487,0.90164,0.90604,0.95597,0.69841,1.66849,0.82117,0.95404,0.000129078,0.000129078,0.000129078
54,103.85,1.445,0.76843,0.94216,0.87267,0.9061,0.96491,0.69967,1.6988,0.8346,0.95589,0.00011408,0.00011408,0.00011408
55,105.062,1.35621,0.77451,0.92207,0.85256,0.9108,0.96502,0.66862,1.70592,0.84516,0.95886,9.9081e-05,9.9081e-05,9.9081e-05
56,106.751,1.44486,0.76806,0.91964,0.84891,0.91074,0.94885,0.68684,1.70787,0.84478,0.96094,8.40825e-05,8.40825e-05,8.40825e-05
57,108.482,1.43991,0.74721,0.92004,0.84891,0.91074,0.94885,0.68684,1.70787,0.84478,0.96094,6.9084e-05,6.9084e-05,6.9084e-05
58,109.881,1.45112,0.73751,0.93752,0.85776,0.91386,0.94898,0.69705,1.69382,0.82437,0.96023,5.40855e-05,5.40855e-05,5.40855e-05
59,111.276,1.46125,0.75593,0.93884,0.86628,0.90913,0.96024,0.72077,1.67596,0.81365,0.95692,3.9087e-05,3.9087e-05,3.9087e-05
60,112.673,1.43702,0.72411,0.92031,0.87808,0.91269,0.96462,0.70937,1.66508,0.80346,0.95526,2.40885e-05,2.40885e-05,2.40885e-05
